20,2,"[[""7H"",""KD""],[""3S"",""7C""],[""4H"",""TC""]]","[""KS"",""9H"",""9S"",""QC"",""KH""]","[""8C"",""QD"",""JS""]","[[""100"",""100"",""100""],[""300"","""",""""],[]]","2013-04-07 16:15:57","2013-04-07 16:24:22",Array,Array,Array,Array
21,2,"[[""KH"",""KS""],[""2H"",""JD""],[""9D"",""JC""]]","[""JS"",""TS"",""AD"",""2D"",""QH""]","[""QC"",""3D"",""5S""]","[[""300"","""",""""],[""300"","""",""""],["""",""600"",""""]]","2013-04-07 16:27:12","2013-04-07 16:30:23",Array,Array,Array,Array
22,2,"[[""QD"",""TD""],[""9C"",""9D""],[""AS"",""JH""]]","[""QS"",""KC"",""3D"",""4S"",""6S""]","[""9H"",""2C"",""4D""]",,"2013-04-07 16:31:58","0000-00-00 00:00:00",Array,Array,Array,Array
23,2,"[[""3C"",""5D""],[""4S"",""8H""],[""7H"",""TD""],[""3S"",""AC""]]","[""AH"",""TC"",""3H"",""KD"",""7D""]","[""TH"",""9H"",""5H""]","[[""100"","""",""100"",""""]]","2013-04-07 16:42:17","0000-00-00 00:00:00",Array,Array,Array,Array
24,2,"[[""2C"",""9D""],[""4H"",""8C""],[""4C"",""QC""],[""6D"",""JD""],[""5S"",""KC""],[""3C"",""AD""],[""3S"",""TH""]]","[""5C"",""TC"",""6C"",""2S"",""2H""]","[""JH"",""4D"",""QS""]",,"2013-04-07 16:44:32","0000-00-00 00:00:00",Array,Array,Array,Array
25,2,"[[""2D"",""QS""],[""2S"",""5C""],[""6S"",""TD""],[""AH"",""TS""],[""3S"",""9S""]]","[""5H"",""8C"",""5D"",""8S"",""7C""]","[""QC"",""6C"",""3H""]",,"2013-04-07 16:44:42","0000-00-00 00:00:00",Array,Array,Array,Array
26,1,"[[""6D"",""KS""],[""3S"",""9C""]]","[""JC"",""TH"",""AC"",""8H"",""5S""]","[""JH"",""3H"",""2S""]","[[""730"",""""],[],[]]","2013-04-07 18:14:51","2013-04-07 18:15:05",Array,Array,Array,Array
27,1,"[[""2C"",""9D""],[""6C"",""JS""]]","[""TS"",""5D"",""2S"",""TC"",""5S""]","[""3H"",""9C"",""3D""]","[[""270"",""150""],[""420"",""""],[""840"",""""]]","2013-04-07 18:15:12","2013-04-07 18:15:39",Array,Array,Array,Array
28,1,"[[""2D"",""KD""],[""6D"",""TH""]]","[""JC"",""9S"",""7H"",""8C"",""9D""]","[""6C"",""5H"",""KC""]","[[""50"",""""],[],["""",""50""]]","2013-04-07 18:16:22","2013-04-07 18:16:41",Array,Array,Array,Array
29,1,"[[""8C"",""8H""],[""2H"",""KC""]]","[""QH"",""QD"",""6C"",""6D"",""TH""]","[""AC"",""7C"",""5C""]","[["""",""50""],[],[]]","2013-04-07 18:16:43","2013-04-07 18:16:59",Array,Array,Array,Array
30,3,"[[""8C"",""TS""],[""6H"",""KS""],[""2H"",""3S""],[""AH"",""JH""],[""2C"",""7S""],[""6S"",""TC""],[""5C"",""7H""],[""AS"",""JC""],[""6C"",""KH""],[""8D"",""TD""]]","[""QH"",""5H"",""9S"",""3C"",""7C""]","[""5D"",""KD"",""7D""]","[["""","""","""","""","""","""","""","""","""",""25""],["""","""","""","""","""","""","""",""1"","""",""""],[]]","2013-04-07 18:16:44","2013-04-07 18:18:39",Array,Array,Array,Array
31,1,"[[""7D"",""9C""],[""4S"",""AD""]]","[""JS"",""KC"",""6H"",""TH"",""8S""]","[""8H"",""9S"",""TC""]","[[""170"",""230""],["""",""400""],["""",""800""]]","2013-04-07 18:17:03","2013-04-07 18:17:33",Array,Array,Array,Array
32,1,"[[""KS"",""QD""],[""2S"",""6D""]]","[""JS"",""JC"",""3D"",""5H"",""JD""]","[""KH"",""9S"",""AS""]","[[""330"",""""],[""330"",""""],[""660"",""""]]","2013-04-07 18:17:39","2013-04-07 18:18:09",Array,Array,Array,Array
33,3,"[[""2D"",""8H""],[""QC"",""TC""],[""AH"",""TH""],[""5S"",""7S""],[""QD"",""QH""]]","[""KC"",""5D"",""4S"",""AS"",""JS""]","[""3H"",""4D"",""KS""]","[["""","""","""",""25"",""100""],[],[]]","2013-04-07 18:18:51","2013-04-07 18:19:56",Array,Array,Array,Array
34,1,"[[""8S"",""9H""],[""6D"",""TD""]]","[""6H"",""4S"",""2H"",""KS"",""4H""]","[""2S"",""KD"",""JH""]","[["""",""8700""],[],[]]","2013-04-07 18:20:02","2013-04-07 18:20:57",Array,Array,Array,Array
35,3,"[[""JS"",""TC""],[""8D"",""QS""],[""JH"",""KS""],[""KD"",""TD""],[""5C"",""AC""],[""2S"",""6C""]]","[""AH"",""7S"",""3H"",""4H"",""2D""]","[""8C"",""2C"",""7D""]","[["""","""","""","""",""100"",""""],[],[]]","2013-04-07 18:20:10","2013-04-07 18:20:49",Array,Array,Array,Array
36,3,"[[""7S"",""TC""],[""8C"",""8S""],[""9C"",""KD""],[""3D"",""AC""],[""2H"",""6H""],[""7D"",""JD""]]","[""TD"",""9D"",""7H"",""6D"",""KC""]","[""TS"",""2D"",""AH""]",,"2013-04-07 18:20:58","0000-00-00 00:00:00",Array,Array,Array,Array
37,3,"[[""3S"",""4S""],[""4C"",""KS""],[""6S"",""AS""],[""7D"",""8D""],[""5D"",""8H""],[""JH"",""QC""]]","[""3D"",""9S"",""QD"",""9D"",""3C""]","[""2S"",""6D"",""7C""]","[["""","""","""","""","""",""135""]]","2013-04-07 18:25:29","0000-00-00 00:00:00",Array,Array,Array,Array
38,3,"[[""5H"",""JH""],[""5S"",""QS""],[""4H"",""8C""],[""7D"",""9H""],[""9S"",""JS""],[""3S"",""KS""]]","[""9D"",""4D"",""AH"",""KC"",""TC""]","[""TD"",""TS"",""4S""]",,"2013-04-07 18:26:28","0000-00-00 00:00:00",Array,Array,Array,Array
39,4,"[[""4C"",""JS""],[""4D"",""8S""],[""9D"",""QH""]]","[""7S"",""QS"",""6C"",""KC"",""TH""]","[""8H"",""6H"",""QC""]","[[""1"",""1"",""8""],[""0"",""1"",""9""],[""0"",""0"",""20""]]","2013-04-07 18:41:51","2013-04-07 18:43:37",Array,Array,Array,Array
40,4,"[[""7C"",""QS""],[""8D"",""AD""],[""4C"",""JD""],[""2S"",""7D""]]","[""7H"",""8H"",""KC"",""3H"",""5C""]","[""3S"",""9C"",""5D""]","[[""2"",""7"",""1"",""0""],[""0"",""9"",""0"",""1""],[""0"",""20"",""0"",""0""]]","2013-04-07 18:44:12","2013-04-07 18:46:01",Array,Array,Array,Array
41,1,"[[""9C"",""JC""],[""5H"",""KS""]]","[""JH"",""9S"",""TC"",""QC"",""AH""]","[""8S"",""4C"",""7C""]",,"2013-04-07 18:46:23","0000-00-00 00:00:00",Array,Array,Array,Array
42,1,"[[""3C"",""9S""],[""8C"",""AD""]]","[""9D"",""QD"",""5D"",""TC"",""2H""]","[""AC"",""4S"",""AS""]",,"2013-04-07 18:46:28","0000-00-00 00:00:00",Array,Array,Array,Array
43,1,"[[""3H"",""4H""],[""9H"",""TC""]]","[""2D"",""9S"",""KC"",""7D"",""3D""]","[""8H"",""2H"",""KD""]",,"2013-04-07 18:46:32","0000-00-00 00:00:00",Array,Array,Array,Array
44,1,"[[""AS"",""QC""],[""KS"",""QH""]]","[""5C"",""JS"",""TS"",""5D"",""JD""]","[""QS"",""3D"",""TH""]",,"2013-04-07 18:46:37","0000-00-00 00:00:00",Array,Array,Array,Array
45,1,"[[""6C"",""9S""],[""9C"",""TS""]]","[""2S"",""8C"",""JS"",""AH"",""TD""]","[""9D"",""7C"",""4H""]",,"2013-04-07 18:46:40","0000-00-00 00:00:00",Array,Array,Array,Array
46,4,"[[""2H"",""AD""],[""6C"",""AS""],[""3H"",""7H""],[""6S"",""JH""]]","[""2C"",""9C"",""7S"",""7C"",""9D""]","[""7D"",""QC"",""TD""]","[[""2"",""3"",""5"",""5""],[""3"",""1"",""10"",""1""],[""0"",""0"",""30"",""0""]]","2013-04-07 19:53:14","2013-04-07 19:54:49",Array,Array,Array,Array
47,4,"[[""5S"",""6C""],[""7D"",""9D""]]","[""JC"",""QC"",""2S"",""6D"",""3S""]","[""2D"",""JD"",""5C""]","[[""1"",""100""],[""0"",""101""]]","2013-04-07 19:55:00","0000-00-00 00:00:00",Array,Array,Array,Array
48,4,"[[""3C"",""6C""],[""AD"",""TD""]]","[""AS"",""8C"",""4S"",""AC"",""KS""]","[""KH"",""9D"",""2S""]","[[""1"",""1000""],[""1"",""1000""],[""1"",""1000""]]","2013-04-07 19:55:39","2013-04-07 19:56:17",Array,Array,Array,Array
49,4,"[[""4C"",""5S""],[""6S"",""9C""]]","[""QS"",""2H"",""9D"",""5H"",""2C""]","[""7H"",""2S"",""AC""]","[[""10"",""10""],[""0"",""20""],[""0"",""40""]]","2013-04-07 19:56:26","2013-04-07 19:57:06",Array,Array,Array,Array
50,4,"[[""7C"",""8H""],[""3H"",""QH""]]","[""QC"",""9D"",""6D"",""9C"",""JD""]","[""AS"",""7S"",""AC""]","[[""10"",""10""],[""10"",""10""],[""0"",""40""]]","2013-04-07 19:58:02","2013-04-07 19:58:50",Array,Array,Array,Array
51,4,"[[""2D"",""6D""],[""8S"",""KH""],[""7C"",""JC""]]","[""QH"",""8H"",""4S"",""4D"",""AC""]","[""KD"",""QS"",""7D""]","[[""5"",""10"",""10""],[""0"",""25"",""0""],[""0"",""50"",""0""]]","2013-04-07 19:58:58","2013-04-07 20:00:09",Array,Array,Array,Array
52,4,"[[""2S"",""AS""],[""2D"",""5D""]]","[""9C"",""QC"",""3C"",""7H"",""8D""]","[""9S"",""QD"",""3D""]","[[""100"",""0""],[""100"",""0""],[""200"",""0""]]","2013-04-07 20:00:20","2013-04-07 20:01:01",Array,Array,Array,Array
53,4,"[[""4S"",""JD""],[""5H"",""7D""]]","[""3S"",""KH"",""7H"",""AS"",""QD""]","[""3H"",""JH"",""QC""]","[[""5"",""5""],[""0"",""10""],[""0"",""20""]]","2013-04-07 20:01:45","2013-04-07 20:02:17",Array,Array,Array,Array
54,4,"[[""3D"",""7S""],[""2H"",""4D""]]","[""4C"",""8C"",""QC"",""2D"",""9H""]","[""2C"",""9S"",""KS""]","[[""10"",""10""],[""0"",""20""],[""0"",""40""]]","2013-04-07 20:03:15","2013-04-07 20:03:50",Array,Array,Array,Array
55,4,"[[""JH"",""QS""],[""AH"",""KS""]]","[""3D"",""QD"",""4H"",""5S"",""TH""]","[""3S"",""7D"",""QH""]","[[""500"",""1000""],[""1500"",""0""],[""1"",""0""]]","2013-04-07 20:04:08","2013-04-07 20:05:31",Array,Array,Array,Array
56,4,"[[""4S"",""9H""],[""QD"",""QH""]]","[""QS"",""2S"",""JH"",""2H"",""6C""]","[""KD"",""JD"",""8S""]","[[""0"",""2000""],[""0"",""2000""],[""0"",""4000""]]","2013-04-07 20:05:52","2013-04-07 20:06:50",Array,Array,Array,Array
